CAMERA ID,LOCATION,LATITUDE,LONGITUDE,VIOLATIONS 2014,VIOLATIONS 2015,VIOLATIONS 2016,VIOLATIONS 2017,VIOLATIONS 2018
1093.0,"(41.95448756687966, -87.66229349585691)",41.954487567,-87.662293496,848,1523.0,2037.0,1639.0,1730.0
2301.0,"(41.83762234415814, -87.66588718054551)",41.837622344,-87.665887181,823,1512.0,2018.0,1635.0,1686.0
1111.0,"(41.97641214294823, -87.66001508205365)",41.976412143000005,-87.660015082,814,1506.0,1991.0,1630.0,1673.0
1403.0,"(41.946734754927796, -87.7086097735515)",41.946734755,-87.708609774,809,1490.0,1989.0,1629.0,1658.0
1821.0,"(41.88401217771363, -87.7014364786693)",41.884012178,-87.701436479,805,1468.0,1984.0,1598.0,1655.0
2274.0,"(41.79413322022423, -87.66464526320254)",41.79413322,-87.664645263,798,1467.0,1978.0,1559.0,1637.0
1611.0,"(41.94616352362556, -87.74721516897007)",41.946163524,-87.747215169,775,1453.0,1972.0,1547.0,1614.0
2153.0,"(41.80236597333895, -87.72357676611004)",41.802365973,-87.72357676600001,774,1448.0,1949.0,1547.0,1613.0
1872.0,"(41.88181563164203, -87.64721471704077)",41.881815632,-87.64721471700001,768,1435.0,1942.0,1538.0,1613.0
2141.0,"(41.808378407946726, -87.68457071689552)",41.808378408,-87.68457071700001,762,1435.0,1926.0,1526.0,1612.0
1733.0,"(41.903298792681944, -87.67738324739636)",41.903298793000005,-87.67738324700001,752,1420.0,1869.0,1526.0,1597.0
1183.0,"(41.953292847298, -87.76706570775266)",41.953292847,-87.76706570799999,742,1420.0,1866.0,1510.0,1595.0
2302.0,"(41.83773267497158, -87.66589444999927)",41.837732675,-87.66589445,741,1417.0,1853.0,1509.0,1594.0
1832.0,"(41.91744617191702, -87.70711607187832)",41.917446172,-87.707116072,737,1411.0,1852.0,1501.0,1594.0
2402.0,"(41.67772082924762, -87.64205184498218)",41.677720829,-87.642051845,736,1407.0,1839.0,1489.0,1588.0
1412.0,"(41.94090916326764, -87.63936915995522)",41.940909163,-87.63936916,736,1407.0,1812.0,1475.0,1588.0
1011.0,"(41.99058604241958, -87.68982247294417)",41.990586042,-87.68982247299999,734,1398.0,1790.0,1473.0,1577.0
1511.0,"(41.93212071910647, -87.69776530036465)",41.932120719000004,-87.6977653,730,1387.0,1788.0,1466.0,1565.0
2283.0,"(41.848458633352884, -87.67627126912292)",41.848458633,-87.676271269,720,1367.0,1777.0,1460.0,1529.0
2091.0,"(41.83018725526863, -87.68517792510231)",41.830187255,-87.685177925,718,1363.0,1768.0,1450.0,1513.0
2012.0,"(41.910181409597406, -87.73624887040725)",41.91018141,-87.73624887,716,1351.0,1765.0,1440.0,1512.0
1431.0,"(41.93221698794738, -87.68803328089533)",41.932216988,-87.688033281,710,1344.0,1765.0,1428.0,1472.0
2142.0,"(41.808378407946726, -87.68457071689552)",41.808378408,-87.68457071700001,709,1333.0,1762.0,1420.0,1469.0
1284.0,"(41.96822639754791, -87.73959925065756)",41.968226398,-87.739599251,706,1333.0,1737.0,1417.0,1462.0
2022.0,"(41.873094832519136, -87.74514386884542)",41.873094833,-87.745143869,697,1317.0,1733.0,1413.0,1451.0
1742.0,"(41.88780462053497, -87.76526849810371)",41.887804621,-87.765268498,691,1316.0,1723.0,1407.0,1432.0
1871.0,"(41.88171705561901, -87.64721053920604)",41.881717056,-87.647210539,688,1315.0,1715.0,1401.0,1415.0
2651.0,"(41.7509181383154, -87.62469012251644)",41.750918138,-87.624690123,681,1314.0,1680.0,1394.0,1414.0
1072.0,"(41.97593337199358, -87.6892995891816)",41.975933372,-87.689299589,679,1303.0,1653.0,1389.0,1413.0
1394.0,"(41.93810547939496, -87.80680955240743)",41.938105479,-87.806809552,673,1293.0,1652.0,1380.0,1405.0
1424.0,"(41.92421579723144, -87.75621075458939)",41.924215796999995,-87.756210755,673,1286.0,1649.0,1351.0,1371.0
1313.0,"(41.990552081681564, -87.69946439622785)",41.990552082,-87.69946439600001,671,1284.0,1647.0,1339.0,1353.0
1142.0,"(41.969023429614026, -87.66959043354217)",41.96902343,-87.669590434,659,1276.0,1631.0,1310.0,1350.0
1104.0,"(41.975640616231914, -87.72833546926573)",41.975640616,-87.728335469,657,1261.0,1620.0,1273.0,1345.0
1563.0,"(41.9468399910054, -87.68832019252964)",41.946839991,-87.688320193,655,1258.0,1590.0,1272.0,1342.0
2061.0,"(41.837277050366296, -87.69517224651918)",41.83727705,-87.695172247,650,1238.0,1560.0,1254.0,1342.0
2642.0,"(41.743264490643654, -87.64397498015705)",41.743264491,-87.64397498,650,1237.0,1554.0,1254.0,1328.0
2033.0,"(41.909733890131285, -87.74624497295898)",41.90973389,-87.74624497299999,647,1236.0,1534.0,1241.0,1316.0
1704.0,"(41.92556279107417, -87.64882364145232)",41.925562791,-87.648823641,646,1229.0,1519.0,1240.0,1309.0
1914.0,"(41.8815641670199, -87.66692946294842)",41.881564167,-87.66692946299999,644,1221.0,1470.0,1236.0,1294.0
1723.0,"(41.91623533746878, -87.66783777212962)",41.916235336999996,-87.66783777200001,643,1219.0,1468.0,1216.0,1287.0
1031.0,"(41.97568566971868, -87.78802040620296)",41.97568567,-87.788020406,641,1211.0,1456.0,1203.0,1278.0
1553.0,"(41.92378618871128, -87.78556720562165)",41.923786189,-87.78556720600001,640,1208.0,1455.0,1201.0,1275.0
2314.0,"(41.866281002664536, -87.72523421983905)",41.866281003000005,-87.72523422,638,1202.0,1455.0,1184.0,1262.0
2114.0,"(41.82309676016606, -87.68501895061576)",41.82309676,-87.685018951,636,1200.0,1454.0,1179.0,1259.0
2563.0,"(41.74431587464464, -87.58531604125469)",41.744315875,-87.585316041,635,1193.0,1442.0,1156.0,1254.0
1364.0,"(41.96052208819935, -87.75437142402293)",41.960522088000005,-87.754371424,628,1189.0,1438.0,1152.0,1249.0
1542.0,"(41.93183102561505, -87.72712687300454)",41.931831026,-87.72712687299999,625,1184.0,1435.0,1147.0,1242.0
2394.0,"(41.76501830555763, -87.66385923012646)",41.765018306,-87.66385923,622,1174.0,1434.0,1143.0,1236.0
2602.0,"(41.72197046522736, -87.60334804007711)",41.721970465,-87.60334804,614,1167.0,1428.0,1124.0,1225.0
1302.0,"(42.00507612272344, -87.69021903022175)",42.005076123,-87.69021903,614,1152.0,1428.0,1113.0,1215.0
1781.0,"(41.89504903796389, -87.74595551626888)",41.895049038,-87.74595551600001,613,1143.0,1427.0,1113.0,1212.0
1751.0,"(41.88019555765594, -87.76501014657406)",41.880195558000004,-87.76501014700001,606,1142.0,1420.0,1110.0,1204.0
2701.0,"(41.77922692069256, -87.67405273137854)",41.779226920999996,-87.674052731,602,1106.0,1412.0,1107.0,1202.0
2222.0,"(41.8480688449598, -87.73454745748458)",41.848068845,-87.734547457,602,1105.0,1412.0,1099.0,1202.0
2492.0,"(41.74933900008238, -87.72205209091501)",41.749339,-87.72205209100001,594,1101.0,1411.0,1094.0,1200.0
1192.0,"(41.96864072747715, -87.6890542408374)",41.968640727,-87.68905424100001,584,1098.0,1381.0,1093.0,1199.0
2541.0,"(41.750549559438944, -87.64418836784098)",41.750549559,-87.64418836799999,575,1097.0,1356.0,1090.0,1194.0
2281.0,"(41.84808059558783, -87.67588133802435)",41.848080595999996,-87.675881338,574,1059.0,1340.0,1082.0,1190.0
1034.0,"(41.97576257447203, -87.7879342955108)",41.975762574,-87.787934296,567,1042.0,1335.0,1072.0,1175.0
1472.0,"(41.92428358982701, -87.74645019028947)",41.92428359,-87.74645019,566,1040.0,1334.0,1068.0,1172.0
2641.0,"(41.743264490643654, -87.64397498015705)",41.743264491,-87.64397498,565,1031.0,1330.0,1060.0,1161.0
1462.0,"(41.9323294940985, -87.67828271931386)",41.932329494,-87.678282719,563,1028.0,1329.0,1060.0,1156.0
1612.0,"(41.94616352362556, -87.74721516897007)",41.946163524,-87.747215169,562,1017.0,1305.0,1057.0,1143.0
1484.0,"(41.92459302175305, -87.7268192684032)",41.924593021999996,-87.72681926799999,560,1015.0,1270.0,1045.0,1141.0
1491.0,"(41.9458132146695, -87.77665216156436)",41.945813215,-87.776652162,556,1008.0,1270.0,1043.0,1136.0
1063.0,"(41.975394608045924, -87.75174659886025)",41.975394608,-87.751746599,556,1002.0,1254.0,1033.0,1134.0
2334.0,"(41.85165436867626, -87.7248829753078)",41.851654369,-87.724882975,555,991.0,1252.0,1031.0,1133.0
2323.0,"(41.866140867641654, -87.73508956008207)",41.866140868,-87.73508956,553,987.0,1246.0,1027.0,1115.0
1941.0,"(41.89578695485361, -87.68699058611217)",41.895786955,-87.68699058600001,550,985.0,1244.0,1023.0,1079.0
2494.0,"(41.74967935883473, -87.72197834524168)",41.749679359,-87.721978345,546,974.0,1209.0,1010.0,1061.0
1983.0,"(41.89547675163723, -87.72614435991626)",41.895476752,-87.72614436,533,969.0,1200.0,1008.0,1055.0
1691.0,"(41.93157560844622, -87.74674330113561)",41.931575608,-87.74674330100001,526,949.0,1199.0,999.0,1053.0
1834.0,"(41.91751102291878, -87.7070536388797)",41.917511023,-87.707053639,524,948.0,1199.0,998.0,1046.0
2034.0,"(41.909733890131285, -87.74624497295898)",41.90973389,-87.74624497299999,524,944.0,1182.0,992.0,1044.0
2681.0,"(41.77937222048469, -87.66436534741581)",41.77937222,-87.66436534700001,523,938.0,1166.0,988.0,1044.0
1783.0,"(41.89511221857764, -87.74593242701515)",41.895112219,-87.74593242700001,523,934.0,1143.0,987.0,1043.0
2213.0,"(41.7939813465735, -87.68414174128355)",41.793981347,-87.684141741,521,929.0,1138.0,982.0,1040.0
2381.0,"(41.84442483084393, -87.70518545233183)",41.844424831,-87.70518545200001,517,928.0,1138.0,981.0,1036.0
2352.0,"(41.764295036756856, -87.70295716211793)",41.764295037,-87.702957162,505,915.0,1131.0,981.0,1035.0
2242.0,"(41.793155060731024, -87.72330376464247)",41.793155061,-87.723303765,502,914.0,1127.0,955.0,1020.0
2691.0,"(41.77965750036339, -87.64493099278877)",41.7796575,-87.64493099299999,497,907.0,1122.0,943.0,1010.0
1373.0,"(41.93944056117365, -87.70771851630873)",41.939440561,-87.707718516,495,877.0,1111.0,929.0,987.0
1901.0,"(41.88084147694413, -87.72090218457842)",41.880841477,-87.720902185,492,874.0,1109.0,927.0,980.0
1464.0,"(41.93239416403691, -87.67817303087757)",41.932394164,-87.678173031,492,861.0,1109.0,913.0,967.0
2481.0,"(41.750054933649984, -87.68299220290213)",41.750054934,-87.682992203,490,860.0,1101.0,896.0,961.0
2134.0,"(41.83733950029648, -87.70495055800411)",41.8373395,-87.704950558,487,837.0,1092.0,892.0,960.0
1754.0,"(41.88035455632559, -87.76494813634785)",41.880354556,-87.764948136,485,821.0,1090.0,884.0,958.0
1301.0,"(42.00507612272344, -87.69021903022175)",42.005076123,-87.69021903,484,821.0,1084.0,876.0,957.0
2112.0,"(41.82296362788048, -87.68438478541296)",41.822963628000004,-87.684384785,479,819.0,1077.0,873.0,954.0
1964.0,"(41.896744346875806, -87.63132124815151)",41.896744346999995,-87.63132124799999,479,804.0,1075.0,870.0,916.0
2244.0,"(41.79331333358753, -87.72322303812588)",41.793313334000004,-87.72322303799999,477,804.0,1068.0,869.0,911.0
1024.0,"(41.95302475075328, -87.78668323766634)",41.953024751,-87.786683238,475,804.0,1049.0,867.0,905.0
1882.0,"(41.88528263580913, -87.72106953854511)",41.885282636,-87.721069539,474,800.0,1042.0,858.0,904.0
1081.0,"(41.99701891845275, -87.8069477154956)",41.997018918,-87.806947715,473,789.0,1039.0,858.0,878.0
1202.0,"(41.98997391514614, -87.74847302426933)",41.989973915,-87.74847302399999,471,778.0,1017.0,856.0,877.0
1743.0,"(41.887838735330206, -87.76518366338465)",41.887838735,-87.76518366299999,469,776.0,1011.0,847.0,872.0
1143.0,"(41.96898745654617, -87.66951630654926)",41.968987457,-87.66951630700001,468,774.0,988.0,842.0,865.0
2462.0,"(41.75146060316686, -87.5859719929647)",41.751460603000005,-87.58597199299999,468,772.0,985.0,837.0,836.0
2104.0,"(41.808226246244026, -87.70403167215984)",41.808226246,-87.70403167200001,462,769.0,985.0,834.0,828.0
1272.0,"(41.99738217345368, -87.78807767391953)",41.997382173000005,-87.788077674,459,769.0,975.0,833.0,803.0
2593.0,"(41.707026319812215, -87.64289600741817)",41.70702632,-87.642896007,457,756.0,962.0,825.0,802.0
2581.0,"(41.72136506078306, -87.64335804234075)",41.721365061,-87.643358042,456,756.0,948.0,819.0,800.0
1761.0,"(41.91094064391597, -87.64841904272998)",41.910940644,-87.64841904299999,452,746.0,943.0,819.0,795.0
2332.0,"(41.85152144233116, -87.7249047867499)",41.851521442,-87.72490478700001,450,741.0,937.0,817.0,790.0
2382.0,"(41.84442483084393, -87.70518545233183)",41.844424831,-87.70518545200001,448,736.0,933.0,805.0,781.0
1251.0,"(42.012371334791766, -87.69039391737863)",42.012371335,-87.69039391700001,445,734.0,928.0,804.0,775.0
2132.0,"(41.837132671422296, -87.70496711478727)",41.837132671,-87.704967115,440,730.0,925.0,801.0,764.0
1814.0,"(41.895704524946225, -87.70221852353758)",41.895704525,-87.702218524,433,723.0,920.0,801.0,756.0
2674.0,"(41.772086214104526, -87.68350885781568)",41.772086214,-87.683508858,426,720.0,918.0,789.0,750.0
1023.0,"(41.95302475075328, -87.78668323766634)",41.953024751,-87.786683238,424,718.0,906.0,764.0,750.0
2364.0,"(41.77908150488341, -87.70326036544745)",41.779081505,-87.703260365,423,712.0,901.0,748.0,744.0
1843.0,"(41.91727506940875, -87.72662274644799)",41.917275069,-87.726622746,422,707.0,879.0,746.0,734.0
2154.0,"(41.80236597333895, -87.72357676611004)",41.802365973,-87.72357676600001,422,706.0,878.0,745.0,733.0
1391.0,"(41.93808446822169, -87.80689674887883)",41.938084468,-87.80689674899999,412,706.0,877.0,744.0,732.0
1052.0,"(41.98929863013193, -87.67010412112992)",41.98929863,-87.67010412100001,411,705.0,859.0,739.0,731.0
2473.0,"(41.721324411975246, -87.66272415265087)",41.721324412,-87.662724153,411,695.0,857.0,733.0,727.0
2172.0,"(41.801080203554356, -87.68381820888895)",41.801080204,-87.683818209,410,693.0,857.0,731.0,716.0
2371.0,"(41.77912348383963, -87.68378309863576)",41.779123484,-87.683783099,408,687.0,852.0,730.0,712.0
1973.0,"(41.89496229349977, -87.76546079122906)",41.894962293,-87.76546079100001,404,684.0,851.0,721.0,700.0
1454.0,"(41.931248623643455, -87.77602861172493)",41.931248624,-87.776028612,399,680.0,822.0,717.0,700.0
1161.0,"(41.95314405904539, -87.77692528423394)",41.953144059,-87.776925284,397,677.0,819.0,716.0,697.0
2443.0,"(41.74995200142266, -87.70244847808695)",41.749952001,-87.702448478,394,661.0,817.0,712.0,690.0
1513.0,"(41.93220539506452, -87.6976792438691)",41.932205395,-87.697679244,392,660.0,811.0,704.0,690.0
2311.0,"(41.86607933722178, -87.7253059948758)",41.866079336999995,-87.725305995,391,660.0,805.0,702.0,688.0
2272.0,"(41.793590115883404, -87.66472099593501)",41.793590116,-87.664720996,387,657.0,803.0,700.0,682.0
